Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2019-05-05,"45,300","137,500","124,000"
2019-05-06,"45,300","137,500","124,000"
2019-05-07,"44,850","136,000","124,000"
2019-05-08,"44,250","135,500","123,500"
2019-05-09,"42,450","131,000","119,000"
2019-05-10,"42,900","130,000","122,500"
2019-05-11,"42,900","130,000","122,500"
2019-05-12,"42,900","130,000","122,500"
2019-05-13,"42,650","129,000","122,500"
2019-05-14,"42,650","128,000","122,000"
2019-05-15,"42,550","128,000","120,000"
2019-05-16,"41,550","127,500","119,000"
2019-05-17,"41,200","125,500","121,000"
2019-05-18,"41,200","125,500","121,000"
2019-05-19,"41,200","125,500","121,000"
2019-05-20,"42,000","129,000","118,500"
2019-05-21,"43,150","127,000","114,500"
2019-05-22,"43,500","127,000","113,000"
2019-05-23,"43,850","127,500","113,000"
2019-05-24,"42,700","130,500","113,500"
2019-05-25,"42,700","130,500","113,500"
2019-05-26,"42,700","130,500","113,500"
2019-05-27,"42,650","135,000","110,500"
2019-05-28,"42,550","136,500","108,500"
2019-05-29,"41,800","134,000","109,500"
2019-05-30,"42,550","135,500","112,000"
2019-05-31,"42,500","134,500","111,500"
2019-06-01,"42,500","134,500","111,500"
2019-06-02,"42,500","134,500","111,500"
2019-06-03,"43,800","138,500","115,000"
2019-06-04,"43,450","139,000","111,000"
2019-06-05,"43,900","141,000","110,500"
2019-06-06,"43,900","141,000","110,500"
2019-06-07,"44,200","140,000","111,000"
2019-06-08,"44,200","140,000","111,000"
2019-06-09,"44,200","140,000","111,000"
2019-06-10,"44,800","143,000","114,000"
2019-06-11,"44,850","143,500","113,000"
2019-06-12,"44,600","141,000","114,000"
2019-06-13,"43,750","141,000","113,000"
2019-06-14,"44,000","140,500","111,500"
2019-06-15,"44,000","140,500","111,500"
2019-06-16,"44,000","140,500","111,500"
2019-06-17,"43,900","140,000","110,500"
2019-06-18,"44,350","141,000","109,000"
2019-06-19,"45,350","140,000","110,000"
2019-06-20,"45,500","140,500","111,500"
2019-06-21,"45,700","140,500","113,000"
2019-06-22,"45,700","140,500","113,000"
2019-06-23,"45,700","140,500","113,000"
2019-06-24,"45,500","142,500","113,500"
2019-06-25,"45,600","141,500","114,500"
2019-06-26,"45,700","141,500","115,500"
2019-06-27,"46,500","140,500","115,000"
2019-06-28,"47,000","140,000","114,000"
2019-06-29,"47,000","140,000","114,000"
2019-06-30,"47,000","140,000","114,000"
2019-07-01,"46,600","141,000","114,500"
2019-07-02,"46,250","137,000","115,000"
2019-07-03,"45,400","136,000","117,500"
2019-07-04,"46,000","139,000","118,000"
2019-07-05,"45,650","141,500","121,000"
2019-07-06,"45,650","141,500","121,000"
2019-07-07,"45,650","141,500","121,000"
2019-07-08,"44,400","138,500","118,500"
2019-07-09,"45,100","137,500","115,500"
2019-07-10,"45,550","137,000","115,500"
2019-07-11,"46,200","139,000","117,000"
2019-07-12,"46,300","139,500","117,000"
2019-07-13,"46,300","139,500","117,000"
2019-07-14,"46,300","139,500","117,000"
2019-07-15,"46,450","138,000","118,000"
2019-07-16,"46,850","133,000","120,000"
2019-07-17,"46,050","133,500","119,000"
2019-07-18,"46,100","134,000","120,500"
2019-07-19,"46,800","134,500","122,500"
2019-07-20,"46,800","134,500","122,500"
2019-07-21,"46,800","134,500","122,500"
2019-07-22,"47,200","133,000","121,000"
2019-07-23,"47,300","132,000","122,500"
2019-07-24,"46,400","132,500","123,500"
2019-07-25,"47,200","131,500","134,000"
2019-07-26,"47,150","130,500","141,000"
2019-07-27,"47,150","130,500","141,000"
2019-07-28,"47,150","130,500","141,000"
2019-07-29,"46,100","128,000","138,500"
2019-07-30,"46,550","128,000","138,500"
2019-07-31,"45,350","126,500","138,000"
2019-08-01,"45,200","125,500","140,500"
2019-08-02,"44,950","127,500","142,000"
2019-08-03,"44,950","127,500","142,000"
2019-08-04,"44,950","127,500","142,000"
2019-08-05,"43,950","127,500","138,000"
2019-08-06,"43,500","126,000","138,500"
2019-08-07,"43,200","127,000","137,500"
2019-08-08,"42,650","130,000","140,000"
2019-08-09,"43,150","132,500","142,500"
2019-08-10,"43,150","132,500","142,500"
2019-08-11,"43,150","132,500","142,500"
2019-08-12,"43,700","131,000","140,500"
2019-08-13,"43,000","129,000","142,500"
2019-08-14,"43,700","127,500","139,000"
2019-08-15,"43,700","127,500","139,000"
2019-08-16,"43,900","128,000","139,500"
2019-08-17,"43,900","128,000","139,500"
2019-08-18,"43,900","128,000","139,500"
2019-08-19,"43,600","128,000","139,000"
